Model,PCD,KLD_pH,KLD_temp,KLD_TDS,KLD_DO,KLD_total,KLD_mean,KS_pH_D,KS_pH_p,KS_temp_D,KS_temp_p,KS_TDS_D,KS_TDS_p,KS_DO_D,KS_DO_p,KS_mean_D,KS_pass_cols,Composite
CTGAN,0.734272,0.361751,0.111832,0.571754,0.330061,1.375398,0.34385,0.213887,0.000539,0.128113,0.102522,0.35366,0.0,0.189472,0.003158,0.221283,1,1.299405
CopulaGAN,0.720095,0.457626,0.153565,1.053835,0.350327,2.015352,0.503838,0.170943,0.01041,0.202679,0.001247,0.324226,0.0,0.129283,0.097162,0.206783,1,1.430716
GaussianCopula,0.491749,0.438299,0.142736,1.954259,0.42051,2.955803,0.738951,0.219019,0.000362,0.160415,0.019405,0.727698,0.0,0.216189,0.000451,0.33083,0,1.56153
TVAE,0.44117,3.430865,0.849212,0.640956,0.189123,5.110156,1.277539,0.188755,0.003307,0.148717,0.037022,0.249434,2.8e-05,0.106075,0.257306,0.173245,1,1.891954
