Model,PCD,KLD_pH,KLD_temp,KLD_TDS,KLD_DO,KLD_total,KLD_mean,KS_pH_D,KS_temp_D,KS_TDS_D,KS_DO_D,KS_mean_D,KS_pass_cols,Composite
TVAE,0.691372,0.187037,0.417554,0.295265,0.374051,1.273907,0.318477,0.074,0.157,0.138,0.174,0.13575,4,1.145599
GaussianCopula,0.500738,0.23409,0.296486,0.844556,0.643097,2.018228,0.504557,0.124,0.114,0.159,0.207,0.151,4,1.156295
CTGAN,1.108377,0.25608,0.337412,0.473452,0.444029,1.510974,0.377743,0.21,0.194,0.138,0.191,0.18325,4,1.66937
CopulaGAN,1.422375,0.163016,0.306803,0.766575,0.690075,1.92647,0.481617,0.124,0.222,0.168,0.2,0.1785,3,2.082493
